Id, Reference, URI, Description
"Absorption barrier","Adapted from (Heinemeyer et al. 2022)","","Any exposure surface that may retard the rate of penetration of a substance into a target. Examples include the skin, respiratory tract lining, and gastrointestinal tract wall."
"(Single chemical) aggregate exposure","Adapted from (Heinemeyer et al. 2022), and (OECD, IOMC 2018, p.11)","","Exposure to a single substance from multiple sources (i.e.: water, air, dust, diet, etc.) and from multiple routes (ingestion, inhalation, dermal contact)."
"Aggregate exposure assessment","From PARC A6.2.1","","Exposure assessment to one or multiple substances from multiple sources (i.e.: water, air, dust, diet, etc.) and from multiple routes (ingestion, inhalation, dermal contact). This can comprise exposures from general and occupational environments."
"Aggregate exposure model","From PARC A6.2.1","","Mathematical model whose purpose is to estimate exposure at a relevant target, modelling all relevant sources and routes. If the effect is local, then in general the relevant target is an outer exposure surface, and aggregation is carried out only at exposure source level. If the effect is systemic, then aggregation is also modelled at exposure routes level, and the target is a biological matrix."
"Aggregate oral exposure assessment","From PARC A6.2.1","","Assessment of exposure to one or multiple substances from multiple sources (i.e.: water, air, dust, diet, etc.) via ingestion. This can comprise oral exposures from general life and occupational environments."
"Biological matrix, or Biological media, or targeted biological matrix","From PARC A6.2.1","","All biological media relevant to the assessment of internal exposure (urine, blood, hair placenta, cordon, etc.)."
"Consumer products","Adapted from (General Multilingual Environmental Thesaurus) and (US EPA, 2011, Exposure Factors Handbook, Chapter 17, Consumer products)","","The measurement of one or several substances and/or their metabolites, and/or markers of subsequent health effects, in biological media such as tissues, cells or fluids."
"Consumer product environment","From PARC A6.2.1","","Environment related to a consumer product, such as: environment linked to contact between the skin and a cosmetic product, linked to the spraying of a biocidal product or cosmetic, or linked to human proximity to a surface impregnated with chemical substances."
"Cumulative exposure","From PARC A.6.2.3","","Exposure to a single exposure dose of a mixture estimated using the dose addition model to cumulate substance exposure converted using relative toxicity/potency factors (RPF, TEF)."
"Cumulative and aggregate exposure assessment","From PARC A6.2.1","","Exposure assessment to multiple substances from multiple sources (i.e.: water, air, dust diet, etc.) and from multiple routes."
"Emission source","Adapted from (van Tongeren et al. 2011)","","A compartment from which a chemical substance is emitted or re-emitted, and which is used as a starting point in a source-to-dose model."
"Exposure","Adapted from (Heinemeyer et al. 2022) and (IPCS and IOMC 2004)","","Contact between a substance and a target. Exposure is measured as the concentration or amount of a particular substance that reaches a target organism, system, (sub) population, or an outer or inner exposure surface in a specific exposure frequency for a defined exposure duration."
"Exposure duration", "Adapted from (Heinemeyer et al. 2022)", "", "The length of time over which continuous or intermittent contacts occur between a substance and a target. For example, if an individual is in contact with an agent for 10 min, it is short term exposure. If the contact is every day for 300 days over a 1-year time period, the exposure duration is 1 year; it is long-term exposure."
"Exposure event", "Adapted from (Heinemeyer et al. 2022)", "", "A single event during which there is continuous contact between a substance and a target. The event is normally of a short duration (less than 24 hours). The attribute ""continuous contact"" in this context means that there is no interruption of the exposure."
"Exposure factor","Adapted from (Heinemeyer et al. 2022)","","Exposure factors are exposure parameters related to human behaviour and characteristics that help determine an individual's exposure to a substance."
"Exposure frequency", "Adapted from (Heinemeyer et al. 2022)", "", "The number of exposure events in an exposure duration."
"Exposure model","From (Heinemeyer et al. 2022), and (Schlüter et al. 2022)","","An exposure model is a conceptual or mathematical representation of one or more exposure processes. As such it encompasses a concept, a set of input parameters and mathematical equations that are defined based on a dataset or another source of experience regarding exposure phenomena."
"Exposure parameter","Adapted from (Heinemeyer et al. 2022)","","All (model) data that are necessary to calculate exposure, including exposure factor and substance concentrations in the different sources. In WHO/IPCS 2008 report (WHO, IPCS 2008), the term ""exposure parameter"" is mentioned as one of the three elements of exposure, namely exposure scenario,  exposure model and exposure parameter."
"Exposure pathway", "Adapted from EEA Glossary and EPA; and project meetings", "", "The course a substance takes from its source to the exposed individual or population, or a part of that course. An exposure pathway involves in general one or several transfer mechanisms from emission sources to exposure sources, and/or between several related exposure sources (e.g., from soil to food)."
"Exposure route", "Adapted from (IPCS and IOMC 2004); and project meetings", "", "The way in which a substance reaches an external exposure surface, starting from the exposure source. These are oral ingestion, inhalation and dermal contact. Each exposure route is generally associated with a particular absorption behaviour through the absorption barriers surface that directly or indirectly separates the external exposure surfaces (outer or inner surfaces) from the internal exposure surfaces."
"Exposure scenario","Adapted from (Heinemeyer et al. 2022)","","A combination of facts, assumptions, and inferences that define a discrete situation where potential exposures may occur. These may include the exposure source, the exposed target population, and the time frame of exposure, microenvironment, and activities. Scenarios are often created to aid exposure assessors in estimating exposure (WHO/IPCS, 2004)."
"Exposure source", "Adapted from (IPCS and IOMC 2004); (van Tongeren et al. 2011); and project meetings", "", "The origin of substance or a mixture for the purposes of an exposure assessment, in immediate contact with outer surfaces of exposure, to which individuals in the target population may be exposed. Examples are food, drinking water, consumer products, indoor air, outdoor air, dust and soil."
"Exposure surface", "Adapted from (IPCS and IOMC 2004)", "", "A surface on a target where a substance is present. A distinction could be made between the surfaces inside the body, i.e. inner exposure surfaces, and those outside the body, i.e. outer exposure surfaces, that have in common to be located before an absorption barrier. Examples of outer exposure surfaces include the exterior of an eyeball, the skin surface, and a conceptual surface over the nose and open mouth. Examples of inner exposure surfaces include the gastrointestinal tract, the respiratory tract, and the urinary tract lining. Both outer and inner exposure surfaces can be called: external exposure surfaces. There are also exposure surfaces behind an absorption barrier the epithelia. These include, for example, urine, blood, or even specific organs. These surfaces can be called: internal exposure surfaces."
"(Exposure) target", "From (Heinemeyer et al. 2022), and (IPCS and IOMC 2004)", "", "Any biological entity that receives an exposure or a dose (e.g., a human, a human population, or a human organ)."
"Exposure subject", "Adapted from definition of target of US EPA", "https://sor.epa.gov/sor_internet/registry/termreg/searchandretrieve/glossariesandkeywordlists/search.do?details=&vocabName=Exposure%20Factors%20Glossary#formTop", "Any physical, biological, or ecological object exposed to an agent."
